model,bit_width,method,unit,correct_to_wrong,wrong_to_correct,discordant_pairs,minimum_two_sided_exact_p,log2_minimum_exact_p,raw_0_05_attainable,first_bh_cutoff_attainable,observed_exact_p,observed_fdr_p
ResNet-18,4,ptq,conv1_conv/kernel,6229,164,6393,0.0,-6392,True,True,0.0,0.0
ResNet-18,4,ptq,stack0_block0_1_conv/kernel,3996,224,4220,0.0,-4219,True,True,0.0,0.0
ResNet-18,4,ptq,stack0_block0_2_conv/kernel,807,202,1009,3.645561009778199e-304,-1008,True,True,3.812672215534475e-86,2.0016529131555996e-85
ResNet-18,4,ptq,stack0_block1_1_conv/kernel,3493,174,3667,0.0,-3666,True,True,0.0,0.0
ResNet-18,4,ptq,stack0_block1_2_conv/kernel,308,152,460,6.717876107567089e-139,-459,True,True,2.944800913951976e-13,6.871202132554612e-13
ResNet-18,4,ptq,stack1_block0_1_conv/kernel,585,131,716,5.801671039719116e-216,-715,True,True,2.6790102681644137e-69,1.1251843126290536e-68
ResNet-18,4,ptq,stack1_block0_0_conv/kernel,286,232,518,2.3307314785000646e-156,-517,True,True,0.0197877179350112,0.0296815769025168
ResNet-18,4,ptq,stack1_block0_2_conv/kernel,280,173,453,8.598881417685874e-137,-452,True,True,5.657209581506083e-07,1.1880140121162776e-06
ResNet-18,4,ptq,stack1_block1_1_conv/kernel,568,248,816,4.5767114681873503e-246,-815,True,True,1.0843754586358645e-29,3.2531263759075927e-29
ResNet-18,4,ptq,stack1_block1_2_conv/kernel,141,102,243,1.4149498560666738e-73,-242,True,True,0.0146115254470508,0.0236032334144668
ResNet-18,4,ptq,stack2_block0_1_conv/kernel,448,130,578,2.0215873059760975e-174,-577,True,True,7.269680207662367e-42,2.5443880726818286e-41
ResNet-18,4,ptq,stack2_block0_0_conv/kernel,131,89,220,1.1869459682199748e-66,-219,True,True,0.0055840070332223,0.009772012308139
ResNet-18,4,ptq,stack2_block0_2_conv/kernel,243,150,393,9.913835302014255e-119,-392,True,True,3.140548539911173e-06,5.995592667103149e-06
ResNet-18,4,ptq,stack2_block1_1_conv/kernel,344,128,472,1.6401064715739963e-142,-471,True,True,6.791804217449848e-24,1.7828486070805848e-23
ResNet-18,4,ptq,stack2_block1_2_conv/kernel,98,118,216,1.8991135491519597e-65,-215,True,True,0.1959698446542187,0.2420803963375644
ResNet-18,4,ptq,stack3_block0_1_conv/kernel,114,84,198,4.9784122222889134e-60,-197,True,True,0.0390390559121714,0.05465467827704
ResNet-18,4,ptq,stack3_block0_0_conv/kernel,59,74,133,1.8367099231598242e-40,-132,True,True,0.2246299298583627,0.2620682515014232
ResNet-18,4,ptq,stack3_block0_2_conv/kernel,91,70,161,6.842277657836021e-49,-160,True,True,0.1146959432696525,0.150538425541419
ResNet-18,4,ptq,stack3_block1_1_conv/kernel,81,73,154,8.758115402030107e-47,-153,True,True,0.5728459689997074,0.6014882674496927
ResNet-18,4,ptq,stack3_block1_2_conv/kernel,92,77,169,2.6727647100921956e-51,-168,True,True,0.2814784417058236,0.3111077513590682
ResNet-18,4,ptq,cifar10_predictions/kernel,70,66,136,2.2958874039497803e-41,-135,True,True,0.7971023348689008,0.7971023348689008
ResNet-18,4,codebook,conv1_conv/kernel,8044,182,8226,0.0,-8225,True,True,0.0,0.0
ResNet-18,4,codebook,stack0_block0_1_conv/kernel,419,218,637,3.506894958413445e-192,-636,True,True,1.3412595816631165e-15,4.6944085358209076e-15
ResNet-18,4,codebook,stack0_block0_2_conv/kernel,764,195,959,4.1045368012983762e-289,-958,True,True,3.713262387204059e-80,2.5992836710428416e-79
ResNet-18,4,codebook,stack0_block1_1_conv/kernel,907,233,1140,0.0,-1139,True,True,2.8174024097551733e-94,2.958272530242932e-93
ResNet-18,4,codebook,stack0_block1_2_conv/kernel,127,109,236,1.8111358157653425e-71,-235,True,True,0.2684273116918929,0.3273780039814131
ResNet-18,4,codebook,stack1_block0_1_conv/kernel,369,161,530,5.6902623986817984e-160,-529,True,True,8.153554600181618e-20,3.424492932076279e-19
ResNet-18,4,codebook,stack1_block0_0_conv/kernel,298,158,456,1.0748601772107342e-137,-455,True,True,5.3729749071878165e-11,1.6118924721563448e-10
ResNet-18,4,codebook,stack1_block0_2_conv/kernel,165,120,285,3.217223493417518e-86,-284,True,True,0.0090334300498353,0.0145924639266571
ResNet-18,4,codebook,stack1_block1_1_conv/kernel,355,117,472,1.6401064715739963e-142,-471,True,True,6.410922055262765e-29,3.365734079012951e-28
ResNet-18,4,codebook,stack1_block1_2_conv/kernel,59,100,159,2.7369110631344083e-48,-158,True,True,0.0014344637604203,0.0027385217244389
ResNet-18,4,codebook,stack2_block0_1_conv/kernel,189,125,314,5.992545734006014e-95,-313,True,True,0.0003618623633996,0.0007599109631392
ResNet-18,4,codebook,stack2_block0_0_conv/kernel,116,125,241,5.659799424266695e-73,-240,True,True,0.6064179145503248,0.6064179145503248
ResNet-18,4,codebook,stack2_block0_2_conv/kernel,104,52,156,2.1895288505075267e-47,-155,True,True,3.807686266744049e-05,8.884601289069449e-05
ResNet-18,4,codebook,stack2_block1_1_conv/kernel,145,76,221,5.934729841099874e-67,-220,True,True,4.031074893667259e-06,1.0581571595876556e-05
ResNet-18,4,codebook,stack2_block1_2_conv/kernel,58,39,97,1.262177448353619e-29,-96,True,True,0.0670517953528908,0.1005776930293363
ResNet-18,4,codebook,stack3_block0_1_conv/kernel,89,56,145,4.484155085839415e-44,-144,True,True,0.0076560527926781,0.0133980923871867
ResNet-18,4,codebook,stack3_block0_0_conv/kernel,63,70,133,1.8367099231598242e-40,-132,True,True,0.6030463891288798,0.6064179145503248
