tensor,ptq_w4,ptq_w8,codebook_w4,codebook_w8
conv1_conv/kernel,True,True,True,True
stack0_block0_1_conv/kernel,True,False,True,False
stack0_block1_1_conv/kernel,True,False,True,False
stack0_block0_2_conv/kernel,True,False,True,False
stack1_block0_1_conv/kernel,True,False,True,False
stack1_block1_1_conv/kernel,True,False,True,False
stack2_block0_1_conv/kernel,True,False,True,False
stack2_block1_1_conv/kernel,True,False,True,False
stack0_block1_2_conv/kernel,True,False,False,False
stack1_block0_2_conv/kernel,True,False,True,False
stack2_block0_2_conv/kernel,True,False,True,False
stack1_block0_0_conv/kernel,True,False,True,False
stack2_block0_0_conv/kernel,True,False,False,False
stack1_block1_2_conv/kernel,True,False,True,False
stack3_block0_1_conv/kernel,False,False,True,False
stack3_block0_2_conv/kernel,False,False,False,False
stack3_block1_2_conv/kernel,False,False,False,False
stack3_block1_1_conv/kernel,False,False,False,False
cifar10_predictions/kernel,False,False,False,False
stack3_block0_0_conv/kernel,False,False,False,False
stack2_block1_2_conv/kernel,False,False,False,False
